Exercise Name,Primary muscle group,Secondary muscle group,MRV,MEV,MAV(P)
Bench Press (Barbell),Chest,Triceps,22,6,20
Bent Over Row (Barbell),Back,Biceps,23,8,22
Bicep Curl (Barbell),Biceps,N/A,22,6,20
Cable Crunch,Core,N/A,15,4,20
Chest Fly (Dumbbell),Chest,Biceps,22,6,20
Crunch (Machine),Core,N/A,15,4,20
Face Pull (Cable),Delts,Forearms,24,10,22
Incline Bench Press (Barbell),Chest,Delts,24,6,20
Lat Pulldown (Cable),Back,Forearms,23,8,22
Lat Pulldown - Wide Grip (Cable),Back,Forearms,23,8,22
Lateral Raise (Cable),Delts,N/A,24,10,22
Leg Press,Legs,Ass,16,6,15
Overhead Press (Smith Machine),Traps,Delts,15,6,20
Preacher Curl (Barbell),Biceps,N/A,22,6,20
Reverse Fly (Machine),Delts,Back,24,10,22
Romanian Deadlift (Barbell),Legs,Back,16,6,15
Romanian Deadlift (Dumbbell),Legs,Back,16,6,15
Seated Calf Raise (Machine),Calves,N/A,20,5,24
Seated Leg Curl (Machine),Legs,Ass,16,6,15
Seated Row (Machine),Back,Biceps,23,8,22
Shoulder Press (Machine),Traps,Delts,15,2,20
Shrug (Barbell),Traps,N/A,15,2,20
Shrug (Dumbbell),Traps,N/A,15,2,20
Skullcrusher (Barbell),Triceps,N/A,18,6,20
Squat (Barbell),Legs,Ass,16,6,15
Squat (Smith Machine),Legs,Ass,16,6,15
Triceps Dip (Assisted),Triceps,Biceps,18,6,20
Triceps Extension (Cable),Triceps,N/A,18,6,20
Triceps Extension (Machine),Triceps,Chest,18,6,20
Upright Row (Barbell),Delts,Back,24,10,22
